Share,Column,Count,Sum,Mean,Median,Mode,Min,Q1,Q2,Q3,IQR,Max,Range,Variance (Population),Std Dev (Population),Variance (Sample),Std Dev (Sample),Skewness,Kurtosis
RELIANCE.NS,Adj Close,19,26477.10009765625,1393.531584087171,1395.0999755859375,"[1345.0, 1357.4000244140625, 1358.0, 1380.699951171875, 1384.800048828125, 1389.4000244140625, 1390.199951171875, 1392.199951171875, 1393.9000244140625, 1395.0999755859375, 1397.5999755859375, 1404.800048828125, 1407.800048828125, 1408.0999755859375, 1408.800048828125, 1411.800048828125, 1413.0999755859375, 1414.4000244140625, 1424.0]",1345.0,1387.1000366210938,1395.0999755859375,1408.4500122070312,21.3499755859375,1424.0,79.0,424.72025296067267,20.608742148920022,448.31582256959894,21.173469781063257,-0.9628756149995912,0.42164131915714087
RELIANCE.NS,Close,19,26477.10009765625,1393.531584087171,1395.0999755859375,"[1345.0, 1357.4000244140625, 1358.0, 1380.699951171875, 1384.800048828125, 1389.4000244140625, 1390.199951171875, 1392.199951171875, 1393.9000244140625, 1395.0999755859375, 1397.5999755859375, 1404.800048828125, 1407.800048828125, 1408.0999755859375, 1408.800048828125, 1411.800048828125, 1413.0999755859375, 1414.4000244140625, 1424.0]",1345.0,1387.1000366210938,1395.0999755859375,1408.4500122070312,21.3499755859375,1424.0,79.0,424.72025296067267,20.608742148920022,448.31582256959894,21.173469781063257,-0.9628756149995912,0.42164131915714087
RELIANCE.NS,High,19,26806.7001953125,1410.8789576480262,1412.9000244140625,"[1352.800048828125, 1378.5999755859375, 1397.300048828125, 1399.0, 1400.800048828125, 1404.699951171875, 1405.9000244140625, 1410.4000244140625, 1410.9000244140625, 1412.9000244140625, 1415.5999755859375, 1415.699951171875, 1422.4000244140625, 1424.300048828125, 1429.4000244140625, 1430.0, 1430.5, 1431.5, 1434.0]",1352.800048828125,1402.75,1412.9000244140625,1426.8500366210938,24.10003662109375,1434.0,81.199951171875,385.3309308326805,19.62984795745195,406.7382047678295,20.16775160417813,-1.4299013386890302,2.7353275233908128
RELIANCE.NS,Low,19,26173.999755859375,1377.5789345189144,1383.5999755859375,"[1307.0, 1341.5, 1353.0999755859375, 1353.199951171875, 1363.5, 1370.0, 1376.0999755859375, 1378.4000244140625, 1381.0999755859375, 1383.5999755859375, 1388.0999755859375, 1388.199951171875, 1390.300048828125, 1391.0, 1396.0999755859375, 1397.199951171875, 1400.5999755859375, 1406.5999755859375, 1408.4000244140625]",1307.0,1366.75,1383.5999755859375,1393.5499877929688,26.79998779296875,1408.4000244140625,101.4000244140625,599.9679282138386,24.494242756489506,633.299479781274,25.165442173370888,-1.3402312621883408,2.1366480589851338
RELIANCE.NS,Open,19,26461.999877929688,1392.7368356805098,1397.199951171875,"[1398.0, 1420.0]",1330.0,1382.5999755859375,1397.199951171875,1400.5,17.9000244140625,1430.5999755859375,100.5999755859375,556.4234825141542,23.58863036537209,587.335898209385,24.235013889193155,-0.8410838704721093,1.4704702018067892
RELIANCE.NS,Volume,19,374268198.0,19698326.210526317,19041331.0,"[9559327.0, 10208367.0, 12031440.0, 16498373.0, 17265090.0, 18071259.0, 18620893.0, 18979554.0, 19007744.0, 19041331.0, 19311971.0, 20939959.0, 21848087.0, 22837802.0, 22994918.0, 23728722.0, 24870822.0, 25957532.0, 32495007.0]",9559327.0,17668174.5,19041331.0,22916360.0,5248185.5,32495007.0,22935680.0,28736906457641.953,5360681.529212676,30333401260844.285,5507576.714022628,0.08244869658038799,0.8003229698838639
RELIANCE.NS,Daily Return %,18,-2.4022913015184555,-0.13346062786213642,0.11797001875998303,"[-3.9416850990163788, -2.575509275075405, -1.6547068504931262, -1.3202794585166266, -1.0674123013957204, -0.9572901325478611, -0.8260307716804527, -0.466627225114169, 0.09207584026444948, 0.14386419725551658, 0.179198626890531, 0.2841312587912981, 0.7512879352761903, 1.0429510337738757, 1.1083938493924306, 1.3667390734995788, 2.1374909403697906, 3.301117056807623]",-3.9416850990163788,-1.0398817591837557,0.11797001875998303,0.9700352591494543,2.0099170183332102,3.301117056807623,7.242802155824002,2.75797244131334,1.660714437015991,2.920206114331772,1.7088610576438834,-0.22215169167105925,0.6188071212474329
RELIANCE.NS,High-Low Gap,19,632.700439453125,33.30002312911184,33.800048828125,"[15.7000732421875, 15.800048828125, 17.7000732421875, 22.0999755859375, 22.300048828125, 22.4000244140625, 24.5999755859375, 29.800048828125, 30.9000244140625, 33.800048828125, 33.9000244140625, 34.0, 37.0999755859375, 39.5999755859375, 45.800048828125, 45.9000244140625, 50.4000244140625, 51.5, 59.4000244140625]",15.7000732421875,22.35003662109375,33.800048828125,42.70001220703125,20.3499755859375,59.4000244140625,43.699951171875,157.54820338296096,12.551820719838256,166.300881348681,12.895769901354514,0.39705306820288966,-0.7389306703012943
RELIANCE.NS,Open-Close Change,19,15.1002197265625,0.7947484066611842,-1.4000244140625,"[-43.5999755859375, -34.7000732421875, -21.7999267578125, -17.5, -8.199951171875, -6.9000244140625, -4.5, -4.0999755859375, -3.199951171875, -1.4000244140625, 2.199951171875, 7.800048828125, 8.300048828125, 10.9000244140625, 15.0, 15.0999755859375, 16.4000244140625, 36.300048828125, 49.0]",-43.5999755859375,-7.54998779296875,-1.4000244140625,12.95001220703125,20.5,49.0,92.5999755859375,459.615446055117,21.438643755030704,485.1496375026235,22.02611262802911,0.09746082240175444,0.7142514523793282
TCS.NS,Adj Close,19,46902.699951171875,2468.5631553248354,2440.800048828125,"[2356.0, 2377.39990234375, 2383.800048828125, 2390.60009765625, 2391.699951171875, 2398.800048828125, 2409.199951171875, 2410.5, 2421.0, 2440.800048828125, 2442.39990234375, 2464.89990234375, 2513.10009765625, 2527.39990234375, 2557.60009765625, 2578.800048828125, 2587.800048828125, 2613.5, 2637.39990234375]",2356.0,2395.25,2440.800048828125,2542.5,147.25,2637.39990234375,281.39990234375,7626.3364287618115,87.32889801641728,8050.021785915245,89.72191363270873,0.6256682826591248,-1.0713297401414406
TCS.NS,Close,19,46902.699951171875,2468.5631553248354,2440.800048828125,"[2356.0, 2377.39990234375, 2383.800048828125, 2390.60009765625, 2391.699951171875, 2398.800048828125, 2409.199951171875, 2410.5, 2421.0, 2440.800048828125, 2442.39990234375, 2464.89990234375, 2513.10009765625, 2527.39990234375, 2557.60009765625, 2578.800048828125, 2587.800048828125, 2613.5, 2637.39990234375]",2356.0,2395.25,2440.800048828125,2542.5,147.25,2637.39990234375,281.39990234375,7626.3364287618115,87.32889801641728,8050.021785915245,89.72191363270873,0.6256682826591248,-1.0713297401414406
TCS.NS,High,19,47565.599853515625,2503.4526238692433,2472.89990234375,"[2406.800048828125, 2407.800048828125, 2420.0, 2421.0, 2421.60009765625, 2424.0, 2425.0, 2435.39990234375, 2445.89990234375, 2472.89990234375, 2482.89990234375, 2521.0, 2545.199951171875, 2560.0, 2609.5, 2619.199951171875, 2623.800048828125, 2635.0, 2688.60009765625]",2406.800048828125,2422.800048828125,2472.89990234375,2584.75,161.949951171875,2688.60009765625,281.800048828125,8246.331560501761,90.80931428274174,8704.461091640747,93.29770142742396,0.6401700932519094,-1.0889865619329284
TCS.NS,Low,19,46513.50048828125,2448.078973067434,2410.0,"[2348.0, 2350.199951171875, 2360.0, 2364.199951171875, 2366.10009765625, 2369.800048828125, 2379.10009765625, 2391.10009765625, 2397.0, 2410.0, 2436.0, 2460.10009765625, 2490.10009765625, 2505.0, 2546.39990234375, 2553.60009765625, 2580.300048828125, 2580.39990234375, 2626.10009765625]",2348.0,2367.9500732421875,2410.0,2525.699951171875,157.7498779296875,2626.10009765625,278.10009765625,8004.328151109145,89.46691092861732,8449.013048392988,91.9185130884578,0.6162841225412268,-1.10087507565451
TCS.NS,Open,19,47163.400146484375,2482.2842182360196,2437.0,[2410.0],2365.0,2407.050048828125,2437.0,2556.5,149.449951171875,2681.60009765625,316.60009765625,8604.36647225846,92.75972440805579,9082.386831828375,95.3015573420937,0.6774179643712102,-0.8461431493260259
TCS.NS,Volume,19,67386883.0,3546678.052631579,3420182.0,"[2466488.0, 2635186.0, 2720664.0, 2752075.0, 2757060.0, 2960636.0, 2993367.0, 3082388.0, 3374385.0, 3420182.0, 3446434.0, 3653428.0, 3807907.0, 3860515.0, 3998643.0, 4206320.0, 4323710.0, 5083717.0, 5843778.0]",2466488.0,2858848.0,3420182.0,3929579.0,1070731.0,5843778.0,3377290.0,732430630701.2078,855821.6114945963,773121221295.7192,879273.1209901274,1.1505682114382279,1.308720321122371
TCS.NS,Daily Return %,18,-8.389308410831411,-0.46607268949063396,-0.7742340500224931,"[-3.474272661901945, -1.9179576395485398, -1.3060884220122415, -1.1808020863064206, -0.9833537850344354, -0.912815971902381, -0.9061918263707835, -0.8921188114378031, -0.8220858837624467, -0.7263822162825395, -0.5657911387208392, -0.34778575740717077, -0.28444944994320265, -0.05393274541070081, 0.6292474071964982, 1.468594976920623, 1.8339404158832062, 2.0529371852097134]",-3.474272661901945,-0.9657193317514218,-0.7742340500224931,-0.11156192154382627,0.8541574102075955,2.0529371852097134,5.527209847111658,1.6786391912407674,1.2956230899612615,1.7773826730784597,1.3331851608379308,0.1421549584881052,0.9254206419852293
