Column,RELIANCE.NS Mean,TCS.NS Mean,RELIANCE.NS Std Dev,TCS.NS Std Dev,RELIANCE.NS Min,TCS.NS Min,RELIANCE.NS Max,TCS.NS Max
Close,1393.531584087171,2468.5631553248354,20.608742148920022,87.32889801641728,1345.0,2356.0,1424.0,2637.39990234375
Volume,19698326.210526317,3546678.052631579,5360681.529212676,855821.6114945963,9559327.0,2466488.0,32495007.0,5843778.0
Daily Return %,-0.13346062786213642,-0.46607268949063396,1.660714437015991,1.2956230899612615,-3.9416850990163788,-3.474272661901945,3.301117056807623,2.0529371852097134
High-Low Gap,33.30002312911184,55.37365080180921,12.551820719838256,10.915992769444578,15.7000732421875,29.89990234375,59.4000244140625,73.800048828125
Open-Close Change,0.7947484066611842,-13.72106291118421,21.438643755030704,24.337997627683635,-43.5999755859375,-61.0,49.0,30.800048828125
